signalID,zoneGroup,zone,corridor,subcorridor,agency,mainStreetName,sideStreetName,milepost,asOf,duplicate,include,modified,note,county,city,latitude,longitude,priority,classification
"7619","Western Metro","District 7","SR 3S","7003008 - Tara South","Clayton County","SR 3 / US 19 / US 41 / Tara Blvd","Mundys Mill Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.48619,-84.3404,"High","Progression"
"7562","Western Metro","District 3","SR 85 - Clayton I","7085001 - Clayton I","Clayton County","SR 85","Lake View Way","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.5183,-84.42661,"Neutral","Progression"
"7563","Western Metro","District 3","SR 85 - Clayton I","7085001 - Clayton I","Clayton County","SR 85","Poine South Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.52234,-84.42439,"Neutral","Progression"
"7564","Western Metro","District 3","SR 85 - Clayton I","7085001 - Clayton I","Clayton County","SR 85","Helmer Rd / Flint River Rd / Thomas Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.5254,-84.42262,"Neutral","Progression"
"7565","Western Metro","District 3","SR 85 - Clayton I","7085001 - Clayton I","Clayton County","SR 85","Webb Road / Warren Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.53371,-84.41911,"Neutral","Progression"
"7566","Western Metro","District 3","SR 85 - Clayton I","7085001 - Clayton I","Clayton County","SR 85","Lake Ridge Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.54212,-84.41658,"Neutral","Progression"
"7576","Western Metro","District 7","SR 85","7085002 - Clayton North","Clayton County","SR 85","Adams Dr / Allen Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.58134,-84.41158,"Neutral","Progression"
"7577","Western Metro","District 7","SR 85","7085002 - Clayton North","Clayton County","SR 85","Garden Walk Blvd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.59382,-84.4079,"High","Progression"
"7578","Western Metro","District 7","SR 85","7085002 - Clayton North","Clayton County","SR 85","Airport South Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.60312,-84.40502,"Neutral","Progression"
"7579","Western Metro","District 7","SR 85","7085002 - Clayton North","Clayton County","SR 85","West Lees Mill Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Forest Park",33.60656,-84.40397,"Neutral","Progression"
"7580","Western Metro","District 7","SR 85","7085002 - Clayton North","Clayton County","SR 85","Air Logistics Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Forest Park",33.60924,-84.40318,"Neutral","Progression"
"7581","Western Metro","District 7","SR 85","7085002 - Clayton North","Clayton County","SR 85","Atlanta South Pkwy / Lee St","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Forest Park",33.61259,-84.40272,"Neutral","Progression"
"7582","Western Metro","District 7","SR 85","7085002 - Clayton North","Clayton County","SR 85","Forest Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Forest Park",33.61523,-84.40282,"High","Progression"
"7583","Western Metro","District 7","SR 85","7085002 - Clayton North","Clayton County","Clark Howell Hwy","Forest Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Jonesboro",33.61647,-84.40462,"Low","Progression"
"7567","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","SR 85","SR 138","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","",33.5497,-84.41477,"High","Progression"
"7568","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","SR 85","Rountree Rd / Church St / SR 139","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.5551,-84.41425,"High","Progression"
"7569","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","SR 85","Bethsaida Rd / Lamar Hutchenson Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.56118,-84.4137,"High","Progression"
"7570","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","SR 85","Roberts Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.56649,-84.41309,"Neutral","Progression"
"7573","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","Walmart","Lamar Hutchenson Pkwy","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.5611,-84.41098,"Neutral","Progression"
"7574","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","SR 85","Valley Hill Rd / Main St / SR 139","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.57261,-84.41251,"High","Progression"
"7575","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","SR 85","Denham St / Howard St","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.57534,-84.41229,"Neutral","Progression"
"7584","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","Valley Hill Rd","Springdale Dr","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.57235,-84.41065,"Low","Progression"
"7585","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","Valley Hill Rd","Camp St / Delta Drive","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.57229,-84.40858,"Low","Progression"
"7586","Western Metro","District 7","SR 85","7085004 - Clayton South","Clayton County","Valley Hill Rd","Upper Riverdale Rd","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","Clayton","Riverdale",33.57229,-84.4073,"Low","Progression"
"6313001","North","District 6","Free - City of Dalton","Abutment Rd","City of Dalton","Abutment Road","Fire Station Number 2","","2021-08-21T00:00:00","","1","2023-06-06T00:00:00","","Whitfield","Dalton",34.75591,-84.96261,"Low","Other"
"6313002","North","District 6","Free - City of Dalton","Abutment Rd","City of Dalton","Abutment Road","Industrial Boulevard","","2021-03-01T00:00:00","","1","2022-05-31T00:00:00","","Whitfield","Dalton",34.73809,-84.96244,"Low","Other"
"6313003","North","District 6","Free - City of Dalton","Abutment Rd","City of Dalton","Abutment Road","Brickyard Road / Antioch Road","","2021-03-01T00:00:00","","1","2022-05-31T00:00:00","","Whitfield","Dalton",34.7254,-84.9626,"Low","Other"
"6313004","North","District 6","Free - City of Dalton","Abutment Rd","City of Dalton","Abutment Road","Callahan Road","","2021-03-01T00:00:00","","1","2022-05-31T00:00:00","","Whitfield","Dalton",34.71389,-84.96104,"Low","Other"
"6313005","North","District 6","Free - City of Dalton","Abutment Rd","City of Dalton","Hamilton Street","Industrial Boulevard","","2021-03-01T00:00:00","","1","2022-05-31T00:00:00","","Whitfield","Dalton",34.73816,-84.9652,"Low","Other"
"6313102","North","District 6","Free - Whitfield Co","Airport Rd (E of SR 3)","Whitfield County","Airport Road","Tibbs Bridge Road","","2021-03-01T00:00:00","","1","2023-06-06T00:00:00","","Whitfield","",34.75658,-84.91831,"Low","Other"
"6313103","North","District 6","Free - Whitfield Co","Airport Rd (E of SR 3)","Whitfield County","Airport Road","Sane Road","","2021-03-01T00:00:00","","1","2023-06-06T00:00:00","","Whitfield","",34.73273,-84.88954,"Low","Other"
"8095","Eastern Metro","District 1","SR 124","Annistown","Gwinnett County","CENTERVILLE HWY","ANNISTOWN RD","","2018-03-01T00:00:00","","1","2025-01-01T00:00:00","","Gwinnett","Snellville",33.80391,-84.04306,"Neutral","Progression"
"8096","Eastern Metro","District 1","SR 124","Annistown","Gwinnett County","CENTERVILLE HWY","SHOPS AT CENTERVILLE","","2018-03-01T00:00:00","","1","2025-01-01T00:00:00","","Gwinnett","Snellville",33.8017,-84.04244,"Neutral","Progression"
"8098","Eastern Metro","District 1","SR 124","Annistown","Gwinnett County","CENTERVILLE HWY","NORRIS LAKE RD","","2018-03-01T00:00:00","","1","2025-01-01T00:00:00","","Gwinnett","Snellville",33.77309,-84.05065,"Neutral","Progression"
"1351382","Eastern Metro","District 1","SR 124","Annistown","Gwinnett County","ANNISTOWN RD","SPAIN RD","","2021-03-01T00:00:00","","1","2025-01-01T00:00:00","","Gwinnett","",33.80556,-84.07072,"Neutral","Progression"
"1351383","Eastern Metro","District 1","SR 124","Annistown","Gwinnett County","ANNISTOWN RD","ROSS RD","","2021-03-01T00:00:00","","1","2025-01-01T00:00:00","","Gwinnett","",33.80609,-84.06498,"Neutral","Progression"
"1351384","Eastern Metro","District 1","SR 124","Annistown","Gwinnett County","ANNISTOWN RD","ZOAR CHURCH RD","","2021-08-21T00:00:00","","1","2025-01-01T00:00:00","","Gwinnett","",33.80545,-84.05514,"Neutral","Progression"
"6057001","North","District 6","Free - Cherokee Co","Arnold Mill Rd","Cherokee County","Arnold Mill Rd","Mill Creek Rd","","2021-03-01T00:00:00","","1","2023-06-06T00:00:00","","Cherokee","",34.11846,-84.48244,"Low","Other"
"6057002","North","District 6","Free - Cherokee Co","Arnold Mill Rd","Cherokee County","Arnold Mill Road","Trickum Road","","2021-03-01T00:00:00","","1","2023-06-06T00:00:00","","Cherokee","",34.1183,-84.46995,"Low","Other"
"6057003","North","District 6","Free - Cherokee Co","Arnold Mill Rd","Cherokee County","Arnold Mill Road/Barnes Road","North Arnold Mill Road","","2021-03-01T00:00:00","","1","2023-06-06T00:00:00","","Cherokee","",34.11474,-84.45884,"Low","Other"
"6057208","North","District 6","Downtown Woodstock","Arnold Mill Rd","City of Woodstock","Arnold Mill","Hubbard Rdwy","","2021-03-01T00:00:00","","1","2023-06-06T00:00:00","","Cherokee","Woodstock",34.10128,-84.51708,"Low","Progression"
"6115032","North","District 6","SR 1 (N Rome)","At Loop","City of Rome","SR 1 Martha Berry Blvd","Redmond Rd","","2021-03-01T00:00:00","","1","2023-06-06T00:00:00","","Floyd","Rome",34.27815,-85.18203,"Neutral","Progression"
"6115033","North","District 6","SR 1 (N Rome)","At Loop","City of Rome","SR 1","SR 1 Loop","","2021-03-01T00:00:00","","1","2023-06-06T00:00:00","","Floyd","Rome",34.27983,-85.18204,"High","Progression"
"11009","Eastern Metro","District 7","Decatur","Avondale","DeKalb County","East College Avenue/ North Avondale","Arcadia Avenue/ Sam Crossing","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","DeKalb","Decatur",33.7748,-84.27952,"Neutral","Progression"
"11123","Eastern Metro","District 7","Decatur","Avondale","DeKalb County","North Avondale Road","Clarendon Avenue","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","DeKalb","Avondale Estates",33.77618,-84.2675,"Neutral","Progression"
"11173","Eastern Metro","District 7","Decatur","Avondale","DeKalb County","East College Avenue","Livingston Place/Maple Street","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","DeKalb","Decatur",33.77502,-84.27576,"Neutral","Progression"
"11174","Eastern Metro","District 7","Decatur","Avondale","DeKalb County","East College Avenue/North Avondale Road","South Avondale Road/Pine Street","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","DeKalb","Decatur",33.77527,-84.27312,"Neutral","Progression"
"11175","Eastern Metro","District 7","Decatur","Avondale","DeKalb County","East College Avenue","Sams Street","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","DeKalb","Decatur",33.77443,-84.28288,"Neutral","Progression"
"11185","Eastern Metro","District 7","Decatur","Avondale","DeKalb County","East Ponce de Leon","North Arcadia Avenue/Sams Crossing","","2018-03-01T00:00:00","","1","2022-05-31T00:00:00","","DeKalb","Old Decatur",33.77646,-84.28034,"Low","Other"
